,primaryMedia,Name,Date,peopleObjectsLink
32,,Andrew Balkin Editions,founded 1978,View All Works Related to Andrew Balkin Editions (1)
33,,Nancy Anello,,View All Works Related to Nancy Anello (1)
34,,"Anonymous, German School",,"View All Works Related to Anonymous, German School (2)"
35,,Richard Anuszkiewicz,"American, born 1930",View All Works Related to Richard Anuszkiewicz (1)
36,,Karel Appel,"Dutch, 1921 - 2006",View All Works Related to Karel Appel (18)
37,,Shusaku Arakawa,"Japanese, 1936 - 2010",View All Works Related to Shusaku Arakawa (1)
38,,Cynthia Archer,"American, born 1953",View All Works Related to Cynthia Archer (4)
39,,Deon Archie,,View All Works Related to Deon Archie (1)
40,,Alexander Archipenko,"American, born Russia, 1887 - 1964",View All Works Related to Alexander Archipenko (1)
41,,Chris Arendt,,View All Works Related to Chris Arendt (1)
42,,Mildred Armato,"American, 1923 - 2001",View All Works Related to Mildred Armato (1)
43,,Santiago Armegod,,View All Works Related to Santiago Armegod (1)
44,,Emil Armin,"American, 1883 - 1971",View All Works Related to Emil Armin (2)
45,,Robert Arneson,"American, 1930 - 1992",View All Works Related to Robert Arneson (6)
46,,Ralph Arnold,"American, 1928 - 2006",View All Works Related to Ralph Arnold (1)
47,,Jean (Hans) Arp,"French, born Germany, 1886 - 1966",View All Works Related to Jean (Hans) Arp (2)
48,,Alexandre Arrechea,"Cuban, born 1970",View All Works Related to Alexandre Arrechea (4)
49,,Daniel Arsham,"American, born 1980",View All Works Related to Daniel Arsham (1)
0,,Isao Artigas,"French, born Spain, 1938",View All Works Related to Isao Artigas (2)
1,,Juan Gardy Artigas,"Spanish, born France, 1938",View All Works Related to Juan Gardy Artigas (1)
2,,Artists Equity Association Chicago Chapter,,View All Works Related to Artists Equity Association Chicago Chapter (1)
3,,Richard Artschwager,"American, 1923 - 2013",View All Works Related to Richard Artschwager (2)
4,,Atelier Lacourière,,View All Works Related to Atelier Lacourière (1)
5,Image Not Available for Barbara Aubin,Barbara Aubin,"American, born 1928",
6,,Mario Avati,"French, born Monaco, 1921 - 2009",View All Works Related to Mario Avati (1)
7,,Eric Avery,"American, born 1948",View All Works Related to Eric Avery (3)
8,,Milton Avery,"American, 1885 - 1965",View All Works Related to Milton Avery (1)
9,,Vahap Avşar,"Turkish, born 1965",View All Works Related to Vahap Avşar (1)
10,,Alice Aycock,"American, born 1946",View All Works Related to Alice Aycock (1)
11,,Umetaro Azechi,"Japanese, 1902 - 1999",View All Works Related to Umetaro Azechi (1)
12,,Marty Azevedo,"American, born 1982",View All Works Related to Marty Azevedo (1)
13,,Otto H. Bacher,"American, 1856 - 1909",View All Works Related to Otto H. Bacher (1)
14,,John Baeder,"American, born 1938",View All Works Related to John Baeder (2)
15,,Albert Baertsoen,"Belgian, 1866 - 1922",View All Works Related to Albert Baertsoen (2)
16,,Captain William Baillie,"British, 1723 - 1810",View All Works Related to Captain William Baillie (1)
17,,"William Baillie, based on Cornelis Dusart",,"View All Works Related to William Baillie, based on Cornelis Dusart (1)"
18,,"Bronislaw ""Bruno"" Bak","American, born Poland, 1922 - 1981","View All Works Related to Bronislaw ""Bruno"" Bak (106)"
19,,A. P. Baker,Origin Unknown,View All Works Related to A. P. Baker (1)
20,,Hedi Bak,"American, born Germany, 1924 - 2010",View All Works Related to Hedi Bak (1)
21,,Jerry Ballaine,"American, born 1934",View All Works Related to Jerry Ballaine (1)
22,,Johann Bämler,"German, ca. 1430 - 1503",View All Works Related to Johann Bämler (1)
23,,Charles Jeffries Bangert,"American, 1938 - 2019",View All Works Related to Charles Jeffries Bangert (46)
24,,Colette Stuebe Bangert,"American, born 1934",View All Works Related to Colette Stuebe Bangert (48)
25,,Pamela Bannos,"American, born 1959",View All Works Related to Pamela Bannos (2)
26,,Barbara McGill Balfour and Randy Hemminghaus,,View All Works Related to Barbara McGill Balfour and Randy Hemminghaus (1)
27,,Phillip Bard,"American, 1912 - 1966",View All Works Related to Phillip Bard (1)
28,,Ernst Barlach,"German, 1870 - 1938",View All Works Related to Ernst Barlach (2)
29,,Georg Barlosius,"German, 1864 - 1908",View All Works Related to Georg Barlosius (1)
30,,Louis Barlow,"American, born 1908",View All Works Related to Louis Barlow (1)
31,,Michael Barnes,"American, born 1969",View All Works Related to Michael Barnes (2)
32,Image Not Available for Robert Barnes,Robert Barnes,"American, born 1934",
33,,Will Barnet,"American, 1911 - 2012",View All Works Related to Will Barnet (4)
34,,Federico Barocci,"Italian, 1528 - 1612",View All Works Related to Federico Barocci (2)
35,Image Not Available for Susan Barron,Susan Barron,"American, born 1947",
36,,Robert Barry,"American, born 1936",View All Works Related to Robert Barry (5)
37,,Morton Bartlett,"American, 1909 - 1992",View All Works Related to Morton Bartlett (1)
38,,William Henry Bartlett,"British, 1809 - 1854",View All Works Related to William Henry Bartlett (1)
39,,Francesco Bartolozzi,"Italian, 1727 - 1815",View All Works Related to Francesco Bartolozzi (1)
40,Image Not Available for Curtis Bartone,Curtis Bartone,"American, born 1965",
41,,Leonard Baskin,"American, 1922 - 2000",View All Works Related to Leonard Baskin (45)
42,,Jules Bastien-Lepage,"French, 1848 - 1884",View All Works Related to Jules Bastien-Lepage (1)
43,,Nikolai Batakov,"Russian, born 1949",View All Works Related to Nikolai Batakov (1)
44,,Marcia Batholme,"American, born 1951",View All Works Related to Marcia Batholme (1)
45,,Baudoin Lebon (Pans),,View All Works Related to Baudoin Lebon (Pans) (5)
46,,Don Baum,"American, 1922 - 2008",View All Works Related to Don Baum (1)
47,,Lothar Baumgarten,"German, born 1944",View All Works Related to Lothar Baumgarten (1)
48,,Herbert Bayer,"American, born Austria, 1900 - 1985",View All Works Related to Herbert Bayer (8)
49,,Jack Beal,"American, born 1931",View All Works Related to Jack Beal (2)
0,,William Goodrich Beal,"American, active 1880 - 1892",View All Works Related to William Goodrich Beal (1)
1,,Romare Bearden,"American, 1911 - 1988",View All Works Related to Romare Bearden (2)
2,,Robert Bechtle,"American, born 1932",View All Works Related to Robert Bechtle (1)
3,,Kim Beckmann,"American, born Italy, 1970",View All Works Related to Kim Beckmann (3)
4,,Max Beckmann,"German, 1884 - 1950",View All Works Related to Max Beckmann (3)
5,,José Bedia,"Cuban, born 1959",View All Works Related to José Bedia (8)
6,,Cornelis Bega,"Dutch, 1620 - 1664",View All Works Related to Cornelis Bega (1)
7,,Jeremy Begren,,View All Works Related to Jeremy Begren (1)
8,,Barthel Beham,"German, 1502 - 1540",View All Works Related to Barthel Beham (1)
9,,Sebald Beham,"German, 1500 - 1550",View All Works Related to Sebald Beham (5)
10,,David Bekker,"American, born Poland, 1897 - 1956",View All Works Related to David Bekker (2)
11,,Stefano Bella,"Italian, 1610 - 1664",View All Works Related to Stefano Bella (3)
12,,Charles Bell,"American, 1874 - 1935",View All Works Related to Charles Bell (1)
13,,Albert Finch Bellows,"American, 1829 - 1883",View All Works Related to Albert Finch Bellows (1)
14,,George Wesley Bellows,"American, 1882 - 1925",View All Works Related to George Wesley Bellows (2)
15,,Alberto Beltron,"Mexican, 1923 - 2002",View All Works Related to Alberto Beltron (2)
16,,Matthew Benedict,"American, born 1968",View All Works Related to Matthew Benedict (1)
17,,"Benefit for Foundation for Contemporary Performance Arts, Inc., New York",,"View All Works Related to Benefit for Foundation for Contemporary Performance Arts, Inc., New York (1)"
18,,Lynda Benglis,"American, born 1941",View All Works Related to Lynda Benglis (3)
19,,William Bengston,"American, born 1948",View All Works Related to William Bengston (2)
20,,Asaph Ben-menahem,"Israeli, born 1940",View All Works Related to Asaph Ben-menahem (2)
21,,Benjamin Benno,"American, 1901 - 1980",View All Works Related to Benjamin Benno (1)
22,,Félix Benoist,"French, 1818 - 1896",View All Works Related to Félix Benoist (1)
23,,Claude Bentley,"American, 1915 - 1990",View All Works Related to Claude Bentley (1)
24,,Thomas Hart Benton,"American, 1889 - 1975",View All Works Related to Thomas Hart Benton (2)
25,,Claes Pietersz Berchem,"Dutch, 1620 - 1683",View All Works Related to Claes Pietersz Berchem (1)
26,,Vera Berdich,"American, 1915 - 2003",View All Works Related to Vera Berdich (3)
27,,Fred Berger,"(American, 1923 - 2006)",View All Works Related to Fred Berger (1)
28,,G. W. Bergfeld,German,View All Works Related to G. W. Bergfeld (5)
29,,Margae Bergman,,View All Works Related to Margae Bergman (1)
30,,Gerry Bergstein,"American, born 1947",View All Works Related to Gerry Bergstein (1)
31,,Bernece Berkman,"American, 1911 - 1979",View All Works Related to Bernece Berkman (3)
32,Image Not Available for Paul Berlanga,Paul Berlanga,American,
33,,José Bernal,"American, born Cuba, 1925 - 2010",View All Works Related to José Bernal (3)
34,,Bernard Brussel-Smith,"American, 1914 - 1989",View All Works Related to Bernard Brussel-Smith (1)
35,"Image Not Available for Gerda Meyer Bernstein,","Gerda Meyer Bernstein,","American, born Germany, 1923",
36,,Mary Bero,"American, born 1949",View All Works Related to Mary Bero (1)
37,,Arne Besser,"American, born 1935",View All Works Related to Arne Besser (1)
38,,Joseph Beuys,"German, 1921 - 1986",View All Works Related to Joseph Beuys (1)
39,Image Not Available for Thomas and John Bewick,Thomas and John Bewick,"English, 1755 - 1828 (Thomas), 1760 - 1795 (John)",View All Works Related to Thomas and John Bewick (2)
40,,Dawoud Bey,"American, born 1953",View All Works Related to Dawoud Bey (6)
41,,Otto Beyr,German,View All Works Related to Otto Beyr (1)
42,,George Biddle,"American, 1885 - 1973",View All Works Related to George Biddle (1)
43,,Fred Biesel,"American, 1893 - 1962",View All Works Related to Fred Biesel (4)
44,,Frank Big Bear,"American, born 1953",View All Works Related to Frank Big Bear (1)
45,,Alexander Birchler,"German, born 1962",View All Works Related to Alexander Birchler (1)
46,,Isabel Bishop,"American, 1902 - 1988",View All Works Related to Isabel Bishop (1)
47,,Sasha Bitzer,"American, born 1988",View All Works Related to Sasha Bitzer (1)
48,,Robert Blackburn,"American, 1920 - 2003",View All Works Related to Robert Blackburn (1)
49,,Doug Black,,View All Works Related to Doug Black (2)
0,,Richard Black,"American, 1888 - 1915",View All Works Related to Richard Black (1)
1,,Tom Blackwell,"American, born 1938",View All Works Related to Tom Blackwell (1)
2,Image Not Available for Nayland Blake,Nayland Blake,"American, born 1960",View All Works Related to Nayland Blake (2)
3,,Mel Bochner,"American, born 1940",View All Works Related to Mel Bochner (5)
4,,Karl Bodmer,"Swiss, 1809 - 1893",View All Works Related to Karl Bodmer (1)
5,,Peter Bodnar,"American, 1928 - 2021",View All Works Related to Peter Bodnar (2)
6,,Marianne Boers,"American, 1945 - 1984",View All Works Related to Marianne Boers (4)
7,,Franklin Boggs,"American, 1914 - 2009",View All Works Related to Franklin Boggs (2)
8,,Aaron Bohrod,"American, 1907 - 1992",View All Works Related to Aaron Bohrod (2)
9,,Bolognese School,"Italian, 16th century",View All Works Related to Bolognese School (1)
10,,Ilya Bolotowsky,"American, born Russia, 1907 - 1981",View All Works Related to Ilya Bolotowsky (4)
11,,Pierre Bonnard,"French, 1867 - 1947",View All Works Related to Pierre Bonnard (1)
12,,Alain Bonnefoit,"French, born 1937",View All Works Related to Alain Bonnefoit (1)
13,,Jan Boon,"Dutch, 1882 - 1908",View All Works Related to Jan Boon (1)
14,,Yuri Borovitsky,"Russian, born 1947",View All Works Related to Yuri Borovitsky (4)
15,,Richard Bosman,"American, born 1944",View All Works Related to Richard Bosman (8)
16,,Botello,Origin unknown,View All Works Related to Botello (1)
17,,Frédéric Bouchot,"French, born 1798",View All Works Related to Frédéric Bouchot (1)
18,,Frédéric Bouchot,"French, 1798 - 1860",View All Works Related to Frédéric Bouchot (1)
19,,Louise Bourgeois,"American, born France, 1911 - 2010",View All Works Related to Louise Bourgeois (1)
20,,Katherine Bowling,"American, born 1955",View All Works Related to Katherine Bowling (22)
21,,Ruth Kay Bowman,,View All Works Related to Ruth Kay Bowman (1)
22,,Stanley Boxer,"American, 1926 - 2000",View All Works Related to Stanley Boxer (13)
23,,René Boyvin,"French, ca. 1525 - ca. 1625",View All Works Related to René Boyvin (1)
24,,Joan Brace,American,View All Works Related to Joan Brace (1)
25,,Carolyn Brady,"American, 1937 - 2005",View All Works Related to Carolyn Brady (1)
26,Image Not Available for Patricia Bramsen,Patricia Bramsen,"American, born 1940",
27,,Phyllis Bramson,"American, born 1941",View All Works Related to Phyllis Bramson (3)
28,,Dayton Brandfield,"American, 1911 - 1933",View All Works Related to Dayton Brandfield (3)
29,,Bill Brandt,"English, 1904 - 1983",View All Works Related to Bill Brandt (2)
30,,Frank Brangwyn,"British, born Belgium, 1867 - 1956",View All Works Related to Frank Brangwyn (5)
31,,Kelly Brannon,"American, born 1975",View All Works Related to Kelly Brannon (1)
32,,Kwame Brathwaite,"American, born 1938",View All Works Related to Kwame Brathwaite (2)
33,,Byron Bratt,"American, born 1952",View All Works Related to Byron Bratt (1)
34,,Ross Braught,"American, 1898 - 1983",View All Works Related to Ross Braught (1)
35,,Eduard Braun,1902 - 1973,View All Works Related to Eduard Braun (1)
36,,J. Alphege Brewer,Origin unknown,View All Works Related to J. Alphege Brewer (1)
37,,Phillip Hieronymus Brinckmann,"German, 1709 - 1761",View All Works Related to Phillip Hieronymus Brinckmann (1)
38,,Dan Britton,"American, born 1949",View All Works Related to Dan Britton (1)
39,,Fritzi Brod,"American, born Prague, 1900 - 1952",View All Works Related to Fritzi Brod (60)
40,,Harry Brodsky,"American, born Austria, 1900 - 1952",View All Works Related to Harry Brodsky (1)
41,,Catherine Brooks,,View All Works Related to Catherine Brooks (1)
42,,Suzette Bross,"American, born 1968",View All Works Related to Suzette Bross (1)
43,,August Brouet,"French, 1872 - 1941",View All Works Related to August Brouet (2)
44,,Nyame Brown,"American, born 1972",View All Works Related to Nyame Brown (1)
45,,Paul Brown,"Australian, born England, 1947",View All Works Related to Paul Brown (1)
46,,Roger Brown,"American, 1941 - 1997",View All Works Related to Roger Brown (2)
47,,Samuel J. Brown,"American, 1907 - 1994",View All Works Related to Samuel J. Brown (1)
48,,Bruce Crownover and Jennifer Mahlman,,View All Works Related to Bruce Crownover and Jennifer Mahlman (1)
49,,Albin Brunovsky,"Slovakian, born Czechoslovakia, 1935 - 1997",View All Works Related to Albin Brunovsky (1)
0,,Grisha Bruskin,"Russian, born 1945",View All Works Related to Grisha Bruskin (5)
1,,Fernando Bryce,"Peruvian, born 1965",View All Works Related to Fernando Bryce (2)
2,,Edith Bry,"American, 1898 - 1991",View All Works Related to Edith Bry (2)
3,,Esther Bubley,"American, 1921 - 1998",View All Works Related to Esther Bubley (8)
4,,John Buck,"American, born 1946",View All Works Related to John Buck (1)
5,,Bernard Buffet,"French, 1928 - 1999",View All Works Related to Bernard Buffet (1)
6,,Fran Bull,"American, born 1938",View All Works Related to Fran Bull (1)
7,,"Robert Bullivant at Bullivant Gallery, St. Louis, Missouri",,"View All Works Related to Robert Bullivant at Bullivant Gallery, St. Louis, Missouri (10)"
8,,David Burke,American,View All Works Related to David Burke (2)
9,Image Not Available for Ken Burkhart,Ken Burkhart,,
10,,Margaret Burroughs,"American, 1915 - 2010",View All Works Related to Margaret Burroughs (11)
11,,Charles Kennedy Burt,"American, born Scotland, 1823 - 1892",View All Works Related to Charles Kennedy Burt (1)
12,,Gary Bush,American,View All Works Related to Gary Bush (1)
13,,Jean-Marc Bustamante,"French, born 1952",View All Works Related to Jean-Marc Bustamante (1)
14,,Jose Maria Bustos,"American, born 1950",View All Works Related to Jose Maria Bustos (1)
15,,Richard Buswell,"American, born 1945",View All Works Related to Richard Buswell (1)
16,,James Butler,"Irish, 1785 - 1793",View All Works Related to James Butler (2)
17,,Deborah Butterfield,"American, born 1949",View All Works Related to Deborah Butterfield (1)
18,,Barry Byrne,"American, 1883 - 1967",View All Works Related to Barry Byrne (1)
19,,Michael Byron,"American, born 1954",View All Works Related to Michael Byron (2)
20,Image Not Available for Lou Cabeen,Lou Cabeen,American,
21,,Gianni Cacciarini,"Italian, born 1941",View All Works Related to Gianni Cacciarini (1)
22,,John Cage,"American, 1912 - 1992",View All Works Related to John Cage (29)
23,,Letterio Calapai,"American, 1902 - 1993",View All Works Related to Letterio Calapai (8)
24,,Alexander Calder,"American, 1898 - 1976",View All Works Related to Alexander Calder (8)
25,,Jacques Callot,"French, 1592 - 1635",View All Works Related to Jacques Callot (8)
26,,Jane Calvin,"American, born 1938",View All Works Related to Jane Calvin (1)
27,,Drew Cameron,,View All Works Related to Drew Cameron (1)
28,Image Not Available for Paula Campbell,Paula Campbell,American,
29,Image Not Available for Scott Campbell,Scott Campbell,"American, born 1973",
30,,Wayne Campbell,"American, born 1944",View All Works Related to Wayne Campbell (1)
31,,Massimo Campigli,"Italian, 1895 - 1971",View All Works Related to Massimo Campigli (1)
32,,Domenico Maria Canuti,"Italian, 1620 - 1684",View All Works Related to Domenico Maria Canuti (1)
33,,Kevin Caplicki,,View All Works Related to Kevin Caplicki (1)
34,,Polidoro da Caravaggio,"Italian, ca. 1499 - 1543",View All Works Related to Polidoro da Caravaggio (1)
35,,Diane Cardenas,American,View All Works Related to Diane Cardenas (1)
36,,Fred Carlo,"American, born 1914",View All Works Related to Fred Carlo (1)
37,,Emil Carlsen,"American, 1853 - 1932",View All Works Related to Emil Carlsen (6)
38,,Eugenio Carmi,"Italian, born 1920",View All Works Related to Eugenio Carmi (1)
39,,David Carol,,View All Works Related to David Carol (2)
40,,Ugo da Carpi,"Italian, active 1502 - 1532",View All Works Related to Ugo da Carpi (2)
41,Image Not Available for Annibale Carracci,Annibale Carracci,"Italian, 1560 - 1609",
42,,Lodovico Carracci,"Italian, 1555 - 1619",View All Works Related to Lodovico Carracci (1)
43,,Eugène Carrière,"French, 1849 - 1906",View All Works Related to Eugène Carrière (1)
44,,François Cars,"French, 1631 - 1701",View All Works Related to François Cars (1)
45,,Karl Caspar,"German, 1879 - 1956",View All Works Related to Karl Caspar (7)
46,,Mary Cassatt,"American, 1844 - 1926",View All Works Related to Mary Cassatt (2)
47,,Bill Cass,"American, born 1954",View All Works Related to Bill Cass (3)
48,,Castelli Graphics,,View All Works Related to Castelli Graphics (1)
49,,Federico Castellon,"American, 1914 - 1971",View All Works Related to Federico Castellon (1)
0,,Giovanni Benedetto Castiglione,Italian,View All Works Related to Giovanni Benedetto Castiglione (2)
1,,Catherine Mousley in Motherwell's studio,,View All Works Related to Catherine Mousley in Motherwell's studio (1)
2,,Elizabeth Catlett,"American, 1915 - 2012",View All Works Related to Elizabeth Catlett (2)
3,,Elise Cavanna,"American, 1902 - 1963",View All Works Related to Elise Cavanna (1)
4,,"Center Street Studio in Gloucester, hand-printed by James Stroud",,"View All Works Related to Center Street Studio in Gloucester, hand-printed by James Stroud (1)"
5,,Alberto Cesado,"Cuban, born 1970",View All Works Related to Alberto Cesado (1)
6,,Lynn Chadwick,"British, 1914 - 2003",View All Works Related to Lynn Chadwick (1)
7,,Sidney Chafetz,"American, 1922 - 2013",View All Works Related to Sidney Chafetz (28)
8,,Marc Chagall,"French, 1887 - 1985",View All Works Related to Marc Chagall (3)
9,,Enrique Chagoya,"American, born Mexico, 1953",View All Works Related to Enrique Chagoya (4)
10,,Larry Chait,"American, born 1952",View All Works Related to Larry Chait (1)
11,,"Cham (Amédée Charles Henri, Comte de Noé)","French, 1818 - 1879","View All Works Related to Cham (Amédée Charles Henri, Comte de Noé) (2)"
12,,Bruce Chandler,,View All Works Related to Bruce Chandler (6)
13,Image Not Available for Sally Chandler,Sally Chandler,"American, born 1951",
14,,Ruth Chaney,"American, 1908 - 1973",View All Works Related to Ruth Chaney (1)
15,,Paul Chan,"American, born Hong Kong, 1973",View All Works Related to Paul Chan (1)
16,,Francis Chapin,"American, 1899 - 1965",View All Works Related to Francis Chapin (3)
17,,"Charles, Michelle","American, born England, 1959","View All Works Related to Charles, Michelle (5)"
18,,Louisa Chase,"American, born 1951",View All Works Related to Louisa Chase (3)
19,,Hilo Chen,"American, born Taiwan, 1942",View All Works Related to Hilo Chen (1)
20,,Phillip Chen,"American, born 1953",View All Works Related to Phillip Chen (1)
21,,Louis Cheron,"French, 1660 - 1725",View All Works Related to Louis Cheron (1)
22,,Sandro Chia,"Italian, born 1946",View All Works Related to Sandro Chia (1)
23,,Eduardo Chillida,"Spanish, 1924 - 2002",View All Works Related to Eduardo Chillida (1)
24,,Mel Chin,"American, born 1951",View All Works Related to Mel Chin (2)
25,,Henry Chodkowski,"American, born 1937",View All Works Related to Henry Chodkowski (4)
26,,Daniel Nikolaus Chodowiecki,"Polish, 1726 - 1801",View All Works Related to Daniel Nikolaus Chodowiecki (1)
27,,Christo,"American, born Bulgaria, 1935",View All Works Related to Christo (1)
28,,David P. Chun,"American, 1898 - 1989",View All Works Related to David P. Chun (1)
29,,John Clem Clark,"American, born 1937",View All Works Related to John Clem Clark (2)
30,,Gayla Jean Clemons,,View All Works Related to Gayla Jean Clemons (1)
31,,"Sébastien Le Clerc, the elder","French, 1637 - 1714","View All Works Related to Sébastien Le Clerc, the elder (1)"
32,,Pierre Clerk,"American, born 1928",View All Works Related to Pierre Clerk (1)
33,,Brad Clever,"American, born 1946",View All Works Related to Brad Clever (1)
34,,Chuck Close,"American, 1940 - 2021",View All Works Related to Chuck Close (3)
35,,Jean Clouet,"Dutch, 1480 - 1541",View All Works Related to Jean Clouet (1)
36,,Bill Clutz,"American, born 1933",View All Works Related to Bill Clutz (3)
37,,Chema Cobo,"Spanish, born 1952",View All Works Related to Chema Cobo (5)
38,,Hieronymus Cock,"Belgian, 1510 - 1570",View All Works Related to Hieronymus Cock (1)
39,,Eleanor Coen,"American, 1916 - 2010",View All Works Related to Eleanor Coen (4)
40,,Sue Coe,"American, born England, 1951",View All Works Related to Sue Coe (3)
41,,Susanna Coffey,"American, born 20th century",View All Works Related to Susanna Coffey (1)
42,,Peter Coffin,"American, born 1972",View All Works Related to Peter Coffin (1)
43,,Alan Cohen,"American, born 1943",View All Works Related to Alan Cohen (61)
44,,George Cohen,"American, 1919 - 1999",View All Works Related to George Cohen (2)
45,Image Not Available for Lynne Cohen,Lynne Cohen,"American, born 1944",
46,,Warrington Colescott,"American, 1921 - 2018",View All Works Related to Warrington Colescott (2)
47,,John Collier,"American, 1913 - 1992",View All Works Related to John Collier (10)
48,,Bethany Collins,"American, born 1984",View All Works Related to Bethany Collins (1)
49,,Samuel Colman,"American, 1832 - 1920",View All Works Related to Samuel Colman (1)
0,,Compass collaborators,,View All Works Related to Compass collaborators (1)
1,,William Conger,"American, born 1937",View All Works Related to William Conger (7)
2,,Gillis van Coninxloo,"Flemish, 1544 - 1607",View All Works Related to Gillis van Coninxloo (1)
3,,Pier Consagra,Italian,View All Works Related to Pier Consagra (1)
4,,Antonia Contro,"American, born 1957",View All Works Related to Antonia Contro (5)
5,Image Not Available for Barbara Cooper,Barbara Cooper,"American, born 1949",
6,,Charles E. Cooper,"American, 1922 - 1993",View All Works Related to Charles E. Cooper (4)
7,,Dirck Volckertsz Coornhert,"Dutch, 1519 - 1590",View All Works Related to Dirck Volckertsz Coornhert (1)
8,Image Not Available for Patrick Corado,Patrick Corado,"Italian, born 1971",
9,,David Smith Corcos,American,View All Works Related to David Smith Corcos (1)
10,,Lovis Corinth,"German, 1858 - 1925",View All Works Related to Lovis Corinth (18)
11,,Raúl Corrales,"Cuban, 1925 - 2006",View All Works Related to Raúl Corrales (4)
12,,Cornelis Cort,"Netherlandish, ca. 1533 - 1578",View All Works Related to Cornelis Cort (2)
13,,Carlos Cortez,"American, 1923 - 2005",View All Works Related to Carlos Cortez (6)
14,,"Eldzier ""Chuck"" Cortor","American, born 1916","View All Works Related to Eldzier ""Chuck"" Cortor (1)"
15,,Robert Cottingham,"American, born 1935",View All Works Related to Robert Cottingham (2)
16,,Jeanine Coupe Ryding,"American, born 1948",View All Works Related to Jeanine Coupe Ryding (2)
17,,Miguel Covarrubias,"Mexican, 1904 - 1957",View All Works Related to Miguel Covarrubias (1)
18,,Jack Cowin,"American, born 1947",View All Works Related to Jack Cowin (52)
19,,Frans Crabbe van Espleghem,"Belgian, ca. 1480 - 1553",View All Works Related to Frans Crabbe van Espleghem (1)
20,Image Not Available for Melissa Jay Craig,Melissa Jay Craig,American,
21,,Barbara Crane,"American, 1928 - 2019",View All Works Related to Barbara Crane (1)
22,,Donato Creti,"Italian, 1671 - 1749",View All Works Related to Donato Creti (1)
23,,Susan Crile,"American, born 1942",View All Works Related to Susan Crile (2)
24,,Henri-Edmond Cross (Henri-Edmond Delacroix),"French, 1856 - 1910",View All Works Related to Henri-Edmond Cross (Henri-Edmond Delacroix) (1)
25,,Sydney Cross,"American, born 1955",View All Works Related to Sydney Cross (1)
26,,"Crown Point Press, San Francisco, California",founded 1962,"View All Works Related to Crown Point Press, San Francisco, California (29)"
27,,Jesus Santa Cruz,Mexican American,View All Works Related to Jesus Santa Cruz (1)
28,,José Luis Cuevas,"Mexican, 1934 - 2017",View All Works Related to José Luis Cuevas (7)
29,,Robert Cumming,"American, born 1943",View All Works Related to Robert Cumming (7)
30,,Eldon D. Cunningham,"American, 1956 - 2010",View All Works Related to Eldon D. Cunningham (1)
31,,C. M. Curry,,View All Works Related to C. M. Curry (1)
