,index,Unnamed: 0,primaryMedia,primaryMaker,Title,Date,Classifications,Object number
22,22,22,,Walter Burley Griffin,Albert Cohn Two Flat Building,1909,Architecture & Design,1985.1.23
23,23,23,,Walter Burley Griffin,"Harry E. Gunn Dwelling, Chicago, Illinois",1909,Architecture & Design,1985.1.24
24,24,24,,Walter Burley Griffin,Harry E. Gunn Dwelling,1910,Architecture & Design,1985.1.25
25,25,25,,Walter Burley Griffin,"Fireplace Design for H.M. Mess Dwelling, Winnetka, Illinois",1912,Drawing,1985.1.26
26,26,26,,Walter Burley Griffin,H.M. Mess Dwelling,1912,Architecture & Design,1985.1.27
27,27,27,,Walter Burley Griffin,H.M. Mess Dwelling,1912,Architecture & Design,1985.1.28
28,28,28,,Walter Burley Griffin,H.M. Mess Dwelling,1912,Architecture & Design,1985.1.29
29,29,29,,Walter Burley Griffin,H.M. Mess Dwelling,1912,Architecture & Design,1985.1.30
30,30,30,,Walter Burley Griffin,H.M. Mess Dwelling,1912,Architecture & Design,1985.1.31
31,31,31,,Walter Burley Griffin,"G.B. Cooley Dwelling, Monroe, Louisiana",1910,Architecture & Design,1985.1.32
32,32,32,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.33
33,33,33,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.34
34,34,34,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.35
35,35,35,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.36
36,36,36,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.37
37,37,37,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.38
38,38,38,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.39
39,39,39,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.40
40,40,40,Image Not Available for Monroe Country Club,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.41
41,41,41,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.42
42,42,42,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.43
43,43,43,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.44
44,44,44,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.45
45,45,45,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.46
46,46,46,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.47
47,47,47,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.48
48,48,48,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.49
49,49,49,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.50
50,50,0,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.51
51,51,1,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.52
52,52,2,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.53
53,53,3,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.54
54,54,4,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.55
55,55,5,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.56
56,56,6,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.57
57,57,7,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.58
58,58,8,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.59
59,59,9,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.60
60,60,10,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.61
61,61,11,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.62
62,62,12,,Walter Burley Griffin,J.E. Blythe Drive,1914,Architecture & Design,1985.1.63
63,63,13,,Walter Burley Griffin,Frank Pallma Dwelling,1911,Architecture & Design,1985.1.64
64,64,14,,Walter Burley Griffin,Frank Pallma Dwelling,1911,Architecture & Design,1985.1.65
65,68,18,,Marion Mahony Griffin,"Henry Ford Dwelling, Dearborn, Michigan",1912,Architecture & Design,1985.1.69
66,69,19,,Walter Burley Griffin,"Henry Ford Dwelling, Dearborn, Michigan",1912,Architecture & Design,1985.1.70
67,70,20,,Walter Burley Griffin,F.L. Morse Dwelling,1914,Architecture & Design,1985.1.71
68,71,21,,Marion Mahony Griffin,"Grounds for Mrs. Jessie Willard Bolte, Hubbard Woods, Illinois",1909,Drawing,1985.1.73
69,72,22,,Walter Burley Griffin,"Victor E. Cromer Sanitorium, Covecrag, Sydney",1927,Architecture & Design,1985.1.74
70,73,23,,Walter Burley Griffin,Mr. A. Richards Dwelling,1929,Architecture & Design,1985.1.75
71,74,24,,Walter Burley Griffin,J. and J. Wearne and E. Finlay Dwelling,1925,Architecture & Design,1985.1.76
72,75,25,,Walter Burley Griffin,J. and J. Wearne and E. Finlay Dwelling,1925,Architecture & Design,1985.1.77
73,76,26,,Walter Burley Griffin,Willoughby Incinerator,1934,Architecture & Design,1985.1.78
74,77,27,,Walter Burley Griffin,Incinerator for Municipality of Granville,1930,Architecture & Design,1985.1.79
75,78,28,,Walter Burley Griffin,Incinerator for Reverberatory Incinerator and Engineering Company,1934,Architecture & Design,1985.1.80
76,80,30,,Walter Burley Griffin,"Moore Park Incinerator, Sydney, Australia",1933,Architecture & Design,1985.1.82
77,81,31,,Walter Burley Griffin or Dwight Perkins,William P. Gray School Grounds Development,1914,Architecture & Design,1985.1.83
78,82,32,,Walter Burley Griffin,Title unknown,1912,Architecture & Design,1985.1.84
79,83,33,,Walter Burley Griffin,Title unknown,1912,Architecture & Design,1985.1.85
80,84,34,,Walter Burley Griffin,Title unknown,1912,Architecture & Design,1985.1.86
81,86,36,,Marion Mahony Griffin,"Tree Fern Gully, Forest Portrait no. 9",1919,Drawing,1985.1.88
82,87,37,,Walter Burley Griffin,J.G. Melson Dwelling,1914,Architecture & Design,1985.1.89
83,88,38,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.90
84,89,39,,Walter Burley Griffin,"J.G. Melson Flower Garden, Mason City, Iowa",1913,Architecture & Design,1985.1.91
85,90,40,,Walter Burley Griffin,"F.B. Carter Jr. Dwelling, Evanston, Ilinois",1909,Architecture & Design,1985.1.92
86,91,41,,Marion Mahony Griffin,"Grounds for Ralph D. Griffin Dwelling, Edwardsville, Illinois",1909,Architecture & Design,1985.1.93
87,92,42,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.94
88,93,43,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.95
89,94,44,,Walter Burley Griffin,"Hurd Comstock House No. 1, Evanston, Illinois",1911,Drawing,1985.1.96
90,95,45,,Walter Burley Griffin,"Hurd Comstock Houses No. 1 and No. 2, Evanston, Illinois",1911,Drawing,1985.1.97
91,96,46,,Walter Burley Griffin,"Frank Pallma Dwelling (""Solid Rock""), Winnetka, Illinois",1911,Drawing,1985.1.98
92,97,47,,Walter Burley Griffin,"E. J. Staten Store, Idalia, Florida",1911,Architecture & Design,1985.1.99
93,98,48,,Walter Burley Griffin,"F.P. Marshall Dwelling, Winnetka, Illinois",1910,Architecture & Design,1985.1.100
94,99,49,,Walter Burley Griffin,"William Louis Koehne Villa and Studio, Palm Beach, Florida",1913,Architecture & Design,1985.1.101
95,100,0,,Walter Burley Griffin,Mr. J.B. Franke Dwelling,1914,Architecture & Design,1985.1.102
96,101,1,,Walter Burley Griffin,"Interlocking Squares, Winnetka, Illinois",1912,Drawing,1985.1.103
97,102,2,,Walter Burley Griffin,"Moore Park Incinerator, Sydney, Australia",1933,Architecture & Design,1985.1.104
98,103,3,,Walter Burley Griffin,"Rock Crest and Rock Glen Development, Mason City, Iowa",1912,Architecture & Design,1985.1.105
99,104,4,,Walter Burley Griffin,"William J. Holahan Dwelling, Mason City, Iowa",1912,Drawing,1985.1.106
100,105,5,,Walter Burley Griffin,"Mr. B.J. Ricker Dwelling, Grinnell, Iowa",1911,Architecture & Design,1985.1.107
101,106,6,,Walter Burley Griffin,"Walter Burley Griffin's Own House, Winnetka, Illinois",1912,Drawing,1985.1.108
102,107,7,,Walter Burley Griffin,"H.M. Mess Dwelling, Winnetka, Illinois",1912,Drawing,1985.1.109
103,108,8,,Walter Burley Griffin,"Stinson Memorial Library, Anna, Illinois",1912,Drawing,1985.1.110
104,109,9,,Walter Burley Griffin,"Ralph D. Griffin Dwelling, Edwardsville, Illinois",1909,Drawing,1985.1.111
105,110,10,,Walter Burley Griffin,"G.B. Cooley Dwelling, Monroe, Louisiana",1910,Drawing,1985.1.112
106,111,11,,Walter Burley Griffin,"William F. Temple Dwelling, Winnetka, Illinois",1911,Architecture & Design,1985.1.113
107,112,12,,Walter Burley Griffin,Residence J.E. Blythe ESQ,1913,Architecture & Design,1985.1.114
108,113,13,,Walter Burley Griffin,"J.E. Blythe Dwelling, Mason City, Iowa",1913,Architecture & Design,1985.1.115
109,114,14,,Marion Mahony Griffin,"Jenkins-Lewis-Dickinson House, Hollister, California",1906,Architecture & Design,1985.1.116
110,115,15,,Marion Mahony Griffin,"Eucalyptus Urnigera, Tasmania/Scarlet Bark, Sunset, Forest Portrait no. 11",1918,Drawing,1985.1.117
111,116,16,,Marion Mahony Griffin,"Henry Ford Dwelling, Dearborn, Michigan",1912,Architecture & Design,1985.1.118
112,117,17,,Marion Mahony Griffin,"Henry Ford Dwelling, Dearborn, Michigan",1912,Print,1985.1.119
113,118,18,,Walter Burley Griffin,"J.G. Melson Dwelling, Mason City, Iowa",1912,Drawing,1985.1.120
114,119,19,,"Christopher Weigel, the Elder","Portrait of Seibert, Count of Heisterbach",1700,Print,1985.2.3
115,120,20,,Max Klinger,Fantasie und Kunstlerkind,1881,Print,1985.2.7
116,122,22,,Aegidius Sadeler II,Virgin and Child in a Landscape,1597,Print,1985.2.9
117,124,24,,Ugo da Carpi,Sybil,1510,Print,1985.2.11
118,125,25,,Niccolò Vicentino,Hercules Strangling the Nemean Lion,1540,Print,1985.2.12
119,126,26,,Raphael,Deposition,1520,Print,1985.2.13
120,128,28,,Arthur Kampf,Man in Top Hat and Fur,1920,Drawing,1985.2.15
121,131,31,,Ernst Moritz Geyger,"Der Riese, leaf 16 from Pan, Volume one, no. 2",1895,Print,1985.2.18
122,134,34,,Arthur Kampf,Portrait of an Unknown Man,1898,Drawing,1985.2.21
123,138,38,,"Unidentified artist, possibly Manuel Orazi",Nude and Tiger on a Flower Strewn Pavement,1885,Drawing,1985.2.25
124,139,39,,Paul Patschke,Uproar in Berlin,1909,Print,1985.2.26
125,143,43,,Willi Geiger,Toreador and Bull,1907,Print,1985.2.30
126,145,45,,Joseph Pennell,Eingang Stärk Verboden,1910,Print,1985.2.33
127,146,46,,Oswald Achenbach,Landscape with Figure and Roman Ruins,1850,Print,1985.2.34
128,151,1,,Hippolyte Petitjean,Pan IV (Arcadia),1899,Print,1985.2.39
129,152,2,,Jan Saenredam,Hymn of the Daughters of Israel to David,1600,Print,1985.2.40
130,153,3,,Albrecht Dürer,Apollo and Diana,1528,Print,1985.2.41
131,154,4,,Heinrich Aldegrever,St. Luke,1539,Print,1985.2.42
132,155,5,,Rembrandt van Rijn,Self-Portrait (etching at a window),1648,Print,1985.2.43
133,156,6,,Claes Pietersz Berchem,"Shepherd Piping, Seen from the Back",1644,Print,1985.2.44
134,157,7,,Matthäus Zasinger,Soldiers and Musicians,1500,Print,1985.2.46
135,158,8,,Emil Orlik,View of Edinburgh,1899,Print,1985.2.48
136,167,17,,Carl Larsson,The Guardian Angel (Skyddsängeln),1898,Print,1985.2.57
137,168,18,,Adriaen van Ostade,Peasant Settling His Debt,1647,Print,1985.2.58
138,169,19,,Albrecht Altdorfer,Arion and Nereid,1520,Print,1985.2.59
139,170,20,,Georg Pencz,The Rich Man and the Devil,1554,Print,1985.2.60
140,171,21,,Jerome Hopfer,St. Jerome in the Wilderness,1683,Print,1985.2.61
141,172,22,,Andreas Achenbach,Logging Camp,1862,Print,1985.2.62
142,173,23,,Jean Jacques de Boisseau,Man Giving Alms to an Old Woman,1780,Print,1985.2.63
143,174,24,,Andreas Achenbach,Dutch Landscape with Woman and Cow,1862,Print,1985.2.64
144,175,25,,Albert Baertsoen,Le Vieux Pont,1900,Print,1985.2.65
145,177,27,,Ernst Moritz Geyger,Die Klugheit Beleuchtet die Gemeinheit,1899,Print,1985.2.67
146,178,28,"Image Not Available for The Noble Art Historian, a Popular Honey Flea",Marcotino,"The Noble Art Historian, a Popular Honey Flea",1909,Print,1985.2.68
147,181,31,,Johann Elias Ridinger,Hunter with Four Hounds,1720,Print,1985.2.71
148,182,32,,Reinhard Pfaehler von Othegraven,Peasant Woman Carrying Sticks,1911,Print,1985.2.72
149,183,33,,Andreas Achenbach,Mill Beside a Stream,1850,Print,1985.2.73
150,187,37,,Paul Gavarni,(Air: Larifla!...) - Nos femm'sont cou-cou!,1847,Print,1985.2.77
151,190,40,,Jules Bastien-Lepage,Season of October: The Potato Gatherers,1878,Print,1985.2.80
152,193,43,,G. W. Bergfeld,Horse,1908,Print,1985.2.83
153,194,44,,Hippolyte Petitjean,Seated Man,1898,Print,1985.2.84
154,197,47,,Hans Am Ende,Portrait of a Girl,1897,Print,1985.2.87
155,199,49,,G. W. Bergfeld,Two Penguins,1908,Print,1985.2.90
156,200,0,,G. W. Bergfeld,Three Bears,1908,Print,1985.2.91
157,201,1,,G. W. Bergfeld,Three Bears,1908,Print,1985.2.92
158,204,4,,Adam von Bartsch,Landscape,1803,Print,1985.2.95
159,205,5,,Frank Brangwyn,Fishmonger's Hall,1904,Print,1985.2.96
160,206,6,,Francis Dodd,Portrait of Warfred Green,1911,Print,1985.2.97
161,207,7,,Frank Brangwyn,"The Skin Scrapers, No. 1",1904,Print,1985.2.98
162,208,8,,Sebald Beham,Peasant Couple Dancing,1522,Print,1985.2.99
163,209,9,,Albrecht Altdorfer,St. Sebastian Bound to a Column,1515,Print,1985.2.100
164,210,10,,Hans von Kulmbach,Landscape,1778,Print,1985.2.101
165,211,11,,Maria Katharina Prestel,Venus Bathing,1780,Print,1985.2.102
166,213,13,,Sebastian Furck,Maria Juliana Bauer von Eiseneck,1629,Print,1985.2.104
167,214,14,,Pieter de Jode I,The Hymn of the Daughters of Israel to David,1600,Print,1985.2.105
168,215,15,,Barthel Beham,Genius Flying Above a Landscape,1520,Print,1985.2.106
169,216,16,,Georg Pencz,Thetis and Cheiron,1543,Print,1985.2.107
170,218,18,,Albrecht Altdorfer,The Revenge of the Sorcerer Virgil,1520,Print,1985.2.109
171,219,19,,Master of the Die,Apollo and Marsyas,1530,Print,1985.2.110
172,220,20,,Georg Pencz,Medea,1539,Print,1985.2.111
173,222,22,,Georg Pencz,Joseph in the Well,1546,Print,1985.2.113
174,223,23,,Frans Crabbe van Espleghem,The Rich Man and Lazarus,1546,Print,1985.2.114
175,224,24,,Georg Pencz,Virginia,1546,Print,1985.2.115
176,225,25,,Heinrich Aldegrever,"Mars, from the series Seven Planets",1533,Print,1985.2.116
177,226,26,,Georg Pencz,Fortune,1555,Print,1985.2.117
178,227,27,,Sebald Beham,Putti,1518,Print,1985.2.118
179,229,29,,Albrecht Altdorfer,Virgin with the Child and Two Boys,1507,Print,1985.2.120
180,231,31,,Hendrik Goudt,"Tobias and the Angel, also called The Large Tobias",1613,Print,1985.2.122
181,233,33,,"Unknown artist, German",Title page from the Writings of the Royal Saxon Commission for History (Aus Dem Schriften der Königlich Sächsen Commission für Geschichte),1908,Print,1985.2.124
182,236,36,,Crispijn de Passe the Elder,"Portrait of Conrad, Baron of Bemelberg and Hohenberg",1590,Print,1985.2.127
183,237,37,,Unidentified artist,Small Cottage,1900,Print,1985.2.128
184,238,38,,Adriaen van Ostade,Man and Woman Conversing,1671,Print,1985.2.129
185,240,40,,"Unidentified artist, German",Portrait of Marson,1909,Print,1985.2.132
186,241,41,,"Unidentified artist, German",Portrait of Willi Geiger,1909,Print,1985.2.133
187,243,43,,Paul Gavarni,Ah! Si vous ne m'aimiez pas...,1847,Print,1985.2.135
188,244,44,,Paul Gavarni,Un quart d'heure pour m'habiller!...,1847,Print,1985.2.136
189,245,45,,Paul Gavarni,Oh hè! v'la le jour! Oh hè! bonsoir la foire aux amours!...,1847,Print,1985.2.137
190,246,46,,Paul Gavarni,Comme tu viens tard!,1847,Print,1985.2.138
191,247,47,,Sebald Beham,St. Sebald,1521,Print,1985.2.139
192,248,48,,"Unidentified artist, German",Before the Throne of King John of Leyden,1910,Print,1985.2.140
193,249,49,,Heinrich Wolff,Portrait of Dr. P.,1897,Print,1985.2.141
194,250,0,,Paul Gavarni,"Suis-je à votre gout comme ça, polisson?",1847,Print,1985.2.142
195,251,1,,Urs Graf,One of the Foolish Virgins,1500,Print,1985.2.144
196,252,2,,Walter Kuhne,Japanese Iris,1906,Print,1985.2.145
197,254,4,,Andreas Achenbach,Pulling in a Boat,1850,Print,1985.2.147
198,256,6,,Jacob Sandrart,Portrait of Georg Holtzschuer,1666,Print,1985.2.149
199,259,9,,Unidentified artist,Two Figures with a Lantern,1920,Print,1985.2.152
200,260,10,,Frank Brangwyn,"Scaffolding, S. Kensington",1904,Print,1985.2.153
201,261,11,,Johann Elias Ridinger,Woman in Landscape with Falcon and Hound,1720,Print,1985.2.154
202,263,13,Image Not Available for Portrait of Albrecht Dürer,,Portrait of Albrecht Dürer,1550,Print,1985.2.158
203,264,14,,Hermann Struck,Portrait of Theodore Herzl,20,Print,1985.2.159
204,265,15,,G. W. Bergfeld,Five Penguins,1908,Print,1985.2.162
205,266,16,,William Strang,Self-portrait,1895,Print,1985.2.163
206,267,17,,Anders Zorn,Self-portrait,1904,Print,1985.2.164
207,269,19,,Louis Graf Sparre,Cottages at Lakeside in Winter,1904,Print,1985.2.167
208,270,20,,Georg Barlosius,Ex Libris Carl G. F. Langenscheidt,1900,Print,1985.2.171
209,271,21,,Mathilde Ade,Ex Libris Roxsnyane-Prielle Cornelia,1900,Print,1985.2.172
210,277,27,,Willi Geiger,Ex Libris Peter Halm,1905,Print,1985.2.178
211,278,28,,"Unidentified artist, German or Dutch",Mein Hauserlein (My Little House),1920,Print,1985.2.179
212,282,32,,Mathilde Ade,Ex Libris Grete Sielitz,1900,Print,1985.2.183
213,283,33,,Franz von Bayros,Ex Libris Aug. R. Ammann,1900,Print,1985.2.184
214,285,35,,Otto Eckmann,Three Birds,1896,Print,1985.2.186
215,290,40,,Mathilde Ade,Ex Libris Joseph Monsalvatje,1900,Print,1985.2.191
216,292,42,,Mathilde Ade,Ex Libris Otto Tulius & Gemma Bierbaum,1902,Print,1985.2.193
217,294,44,,Alfred Soder,Ex Libris Otto Wappenschmitt,1909,Print,1985.2.195
218,300,0,,Franz von Bayros,Ex Libris Curt Muller,1900,Print,1985.2.201
219,301,1,,Etienne Delaune,The Goldsmith's Shop,1576,Print,1985.2.202
220,302,2,,Sebald Beham,Moses and Aaron,1526,Print,1985.2.203
221,304,4,,Pieter de Molyn,"Landscape with Three Peasants and a Woman, from the suite The Landscapes",1626,Print,1985.2.205
222,305,5,,"Unidentified artist, Dutch or Flemish",Canal at dusk in the rain,1900,Print,1985.2.206
223,306,6,,Jan Boon,Windmill,1908,Print,1985.2.207
224,308,8,,R. Lesser,Circus Performers,1920,Print,1985.2.209
225,312,12,"Image Not Available for Le Grand et le petit trottoir, frontispiece from the series Le Grand et le petit trottoir",Félicien Rops,"Le Grand et le petit trottoir, frontispiece from the series Le Grand et le petit trottoir",1866,Print,1985.2.213
226,316,16,,"Unidentified artist, Slovakian",Michalok Hospital in Slovakia,1915,Print,1985.2.218
227,317,17,,Honoré Daumier,"Dis donc amour ! crois tu que ce sera un garçon (Listen my love! Do you think it will be a boy?), plate 5 from the series Moeurs Conjugales",1839,Print,1985.2.219
228,318,18,,Frédéric Bouchot,"Ou l'on reconnait l'agrement de porter-perruque, plate 10 of the series Croquis du Jour, from Le Charivari",1849,Print,1985.2.220
229,319,19,,Honoré Daumier,"Carotte du voltigeur (Trick of a Light Infantryman), plate 4 from the series Les Carottes",1844,Print,1985.2.221
230,320,20,,Honoré Daumier,"Qu'il est gentil comme ça, Dodore... (Isn't he cute like that, Dodore... ), plate 37 from the series Les Bons Bourgeois",1847,Print,1985.2.222
231,321,21,,Honoré Daumier,"Allons messieurs… (Come on, Gentlemen….), plate 23 from the series Les Philantropes du Jour",1844,Print,1985.2.223
232,322,22,,Honoré Daumier,"Depuis que Zémire sait qu'elle va me coûter quinze francs par an, elle en est toute malade... (Since Zémire discovered that she costs me 15 francs a year, she is very ill...), plate 41 from the series Tout ce qu'on voudra",1848,Print,1985.2.224
233,323,23,,Honoré Daumier,"Vois-tu c'est l'éclipse qui commence... (You see, the eclipse is starting…), plate 26 from the series Tout ce qu'on voudra",1847,Print,1985.2.225
234,325,25,,Honoré Daumier,"Qué qu'vous êtes donc devenu, m'sieu Lebrun ?... (Whatever became of you, Mr. Lebrun?...), plate 29 from the series Tout ce qu'on voudra",1848,Print,1985.2.227
235,327,27,,,Un crime impardonnable,1845,Print,1985.2.229
236,328,28,"Image Not Available for Un matamore portant une terrible botte à la Constitution (A braggart delivering a terrible blow to the Constitution), plate 182 from the series Actualitiés",Honoré Daumier,"Un matamore portant une terrible botte à la Constitution (A braggart delivering a terrible blow to the Constitution), plate 182 from the series Actualitiés",1851,Print,1985.2.230
237,329,29,,Hanns Lautensack,Portrait of Hieronymus Schurstab,1553,Print,1985.2.231
238,331,31,,Honoré Daumier,"Oh! quant à la vue, vous ne trouverez pas mieux qu'ici!... (Oh! And as for the view, you won't find better than here!...), plate 8 from the series Locataires et Propriétaires",1847,Print,1985.2.233
239,332,32,,Honoré Daumier,"Mais quand je vous dis que je ne peux pas remuer les pieds avec ces bottes là! ..... (But I keep telling you that I cannot move my feet in these boots!.....), plate 8 from the series Tout ce qu'on voudra",1847,Print,1985.2.234
240,334,34,,Albrecht Altdorfer,St. Jerome in the Grotto,1520,Print,1985.2.236
241,335,35,,Honoré Daumier,"Ah! ça mais..... arriverons nous bientôt?..... (Ah! That but… will we arrive soon?), plate 17 from the series Locataires et Propriétaires",1847,Print,1985.2.237
242,336,36,,Honoré Daumier,"La reconduite du propriétaire. (Showing the landlord to the door.), plate 27 from the series Locataires et Propriétaires",1847,Print,1985.2.238
243,338,38,,Félicien Rops,Les Champs,1875,Print,1985.2.240
244,339,39,"Image Not Available for Mr. Thiers au Lutrin de Notre Dame de Lorette. (Mr. Thiers at the lectern of Our Lady of Lorette.), plate 93 from the series Actualitiés",Honoré Daumier,"Mr. Thiers au Lutrin de Notre Dame de Lorette. (Mr. Thiers at the lectern of Our Lady of Lorette.), plate 93 from the series Actualitiés",1850,Print,1985.2.241
245,340,40,,Francesco Vanni,Study for the Fall of Simon Magnus,1603,Drawing,1985.2.242
246,341,41,,Luca Giordano,"Venus, Hercules and Mercury (Allegory of Divine Wisdom)",1685,Drawing,1985.2.243
247,342,42,,North Italian School,Infant Bacchanale,1600,Drawing,1985.2.244
248,343,43,,Parmigianino,Christ Carrying the Cross,1535,Drawing,1985.2.245
249,344,44,,Roman or Florentine School,Four Angels in the Clouds Playing Horns,1600,Drawing,1985.2.246
250,345,45,,Unidentified artist,Horse Pulling a Load,1879,Drawing,1985.2.247
251,346,46,,Lambert Rycx,Marriage at Cana,1544,Drawing,1985.2.248
252,347,47,,Antonio Domenico Gabbiani,Roman Camp Scene,1695,Drawing,1985.2.249
253,348,48,,Luca Penni,Battle Before Troy,1544,Drawing,1985.2.250
254,349,49,,Niccolò Martinelli,Burial of a Saint,1600,Drawing,1985.2.251
255,350,0,,,Virgin and Child in Glory with Saints,1515,Drawing,1985.2.252
256,355,5,,Hanns Lautensack,Portrait of Georg Roggenbach,1554,Print,1985.2.266
257,356,6,,Donato Creti,Man Playing a Lute (recto) and Ancient Ruin with Soldiers (verso),1700,Drawing,1985.2.267
258,358,8,,Bolognese School,Study of a Nude,1575,Drawing,1985.5
259,359,9,,Bartholomaeus Spranger,Jupiter and Juno,1586,Drawing,1985.6
260,360,10,,,Head of a Man,1525,Drawing,1985.7
261,361,11,,Domenico Maria Canuti,Four Head Studies,1660,Drawing,1985.8
262,362,12,,Polidoro da Caravaggio,The Arrest of Caius Marius,1555,Drawing,1985.9
263,363,13,,Paul Gavarni,Les Parens terribles,1853,Print,1985.10.1
264,364,14,,Charles Emile Jacque,Summer,1864,Print,1985.10.2
265,365,15,,"Millet, Jean François",Man Leaning on a Spade,1855,Print,1985.10.3
266,366,16,,Nicolas de Plattemontagne,Portrait of Pierre Mounerot,1656,Print,1985.10.4
267,371,21,,Giovanni Battista Piranesi,"Porticos surrounding a forum with a royal palace, from the series Opere Varie di Architettura (Various Works of Architecture)",1761,Print,1985.10.9
268,372,22,,Unidentified artist,St. Jerome in His Cell,1520,Print,1985.10.10
269,373,23,,Johann Bämler,"Alexander Meeting a Strange Bishop in India, from the book Alexander",1473,Print,1985.10.11
270,374,24,,Otto H. Bacher,Worth,1879,Print,1985.10.12
271,376,26,,Hendrick Goltzius,"Christ Before Caiaphas, from the series The Passion",1597,Print,1985.10.14
272,379,29,,Auguste Raffet,Vue di Tchioufout Galeh,1837,Print,1985.10.17
273,380,30,,Jacob van Ruisdael,The Small Wooden Bridge,1650,Print,1985.10.18
